district_id,dem_share,mix_comp,p_comp1
1,0.2526712279983063,1,0.6162666666666666
2,0.3993785814373654,1,0.6222
3,0.4036976377002732,1,0.6216
4,0.405732257938934,1,0.6185333333333334
5,0.4811793421217877,1,0.6191333333333333
6,0.4045569685670045,1,0.6231333333333333
7,0.6320356974210014,1,0.6187333333333334
8,0.3885630456299129,1,0.6206666666666667
9,0.437850456959175,1,0.6214
10,0.3932643680069817,1,0.6224
11,0.3297969887557772,1,0.6228666666666667
12,0.3948991493571601,1,0.6179333333333333
13,0.2773108374823036,1,0.6210666666666667
14,0.3897403548464825,1,0.6204666666666667
15,0.445938806881068,1,0.6209333333333333
16,0.5841383189111432,1,0.6244666666666666
17,0.4030066212885601,1,0.6247333333333334
18,0.7874268971437673,1,0.6130666666666666
19,0.2469828715335086,1,0.6188
20,0.6663673225380227,1,0.6185333333333334
21,0.4046095135971516,1,0.6216666666666667
22,0.4041325694800416,1,0.6230666666666667
23,0.4507349566761104,1,0.6200666666666667
24,0.4329508830439831,1,0.6227333333333334
25,0.3959437499884954,1,0.6215333333333334
26,0.3971942070300095,1,0.6213333333333333
27,0.4152341860445759,1,0.6225333333333334
28,0.4864459822587076,1,0.6197333333333334
29,0.6762497734644277,1,0.6176666666666667
30,0.7515804926185021,1,0.6111333333333333
31,0.3984835448430169,1,0.6233333333333333
32,0.4571048179651406,1,0.6242666666666666
33,0.6883782819191642,1,0.6175333333333334
34,0.477739878609101,1,0.6218666666666667
35,0.4683258977478229,1,0.6239333333333333
36,0.3871742218011416,1,0.6214666666666666
37,0.7932584506968378,1,0.6164
38,0.4098096260073824,1,0.6204666666666667
