district_id,dem_share,pp_mean_dem_share,pp_resid_dem_share
1,0.2526712279983063,0.3527635365053564,-0.10009230850705009
2,0.3993785814373654,0.44554863186727167,-0.046170050429906295
3,0.4036976377002732,0.4097452547289197,-0.006047617028646479
4,0.405732257938934,0.42306142922556544,-0.017329171286631417
5,0.4811793421217877,0.40576728361421255,0.07541205850757515
6,0.4045569685670045,0.4310901543545475,-0.02653318578754299
7,0.6320356974210014,0.634809641919015,-0.002773944498013603
8,0.3885630456299129,0.5091098291104923,-0.1205467834805794
9,0.437850456959175,0.4862788324318588,-0.048428375472683804
10,0.3932643680069817,0.3368305162245495,0.05643385178243221
11,0.3297969887557772,0.3586785327372676,-0.0288815439814904
12,0.3948991493571601,0.39117132531660265,0.003727824040557437
13,0.2773108374823036,0.27808086064390186,-0.0007700231615982434
14,0.3897403548464825,0.3935327537691966,-0.003792398922714102
15,0.445938806881068,0.4956820310116204,-0.04974322413055238
16,0.5841383189111432,0.5548275081558501,0.02931081075529307
17,0.4030066212885601,0.38085970933895397,0.022146911949606107
18,0.7874268971437673,0.775360783653355,0.012066113490412311
19,0.2469828715335086,0.2478700812906157,-0.0008872097571070992
20,0.6663673225380227,0.589192003634843,0.07717531890317963
21,0.4046095135971516,0.34213384091604826,0.06247567268110332
22,0.4041325694800416,0.5507610164011143,-0.14662844692107269
23,0.4507349566761104,0.4674299774829948,-0.016695020806884397
24,0.4329508830439831,0.37331779829093287,0.059633084753050236
25,0.3959437499884954,0.442698535319879,-0.04675478533138361
26,0.3971942070300095,0.4081918137008689,-0.010997606670859361
27,0.4152341860445759,0.3870399203740633,0.028194265670512586
28,0.4864459822587076,0.5651588092775787,-0.07871282701887106
29,0.6762497734644277,0.7135607587657717,-0.037310985301344024
30,0.7515804926185021,0.7063283204927374,0.04525217212576471
31,0.3984835448430169,0.39020548717845704,0.008278057664559857
32,0.4571048179651406,0.4124090474139831,0.04469577055115748
33,0.6883782819191642,0.5744596456865968,0.11391863623256737
34,0.477739878609101,0.5000306118642726,-0.022290733255171558
35,0.4683258977478229,0.47548673330965674,-0.007160835561833834
36,0.3871742218011416,0.47084951330730385,-0.08367529150616226
37,0.7932584506968378,0.4921986710858929,0.3010597796109449
38,0.4098096260073824,0.47082496667352325,-0.06101534066614084
