k,silhouette_mean,silhouette_std,ch_mean,db_mean,inertia_mean
5,0.2814168125155696,0.004456988948922639,16.132360558605672,0.8266245423925037,128.5767198447209
2,0.2648536493675826,0.006769392648410456,12.18540396958306,1.4976426380403747,283.9034090953288
4,0.26077712850158974,0.005449887433066169,15.64008456343887,0.9215761256332431,159.6636732073032
10,0.24839851862453033,0.020986978520533123,17.003552091637108,0.8488129980184027,58.814226402662044
3,0.24722489310351564,0.0021333830761175636,15.166188024864567,1.0008488738725356,203.5749628157816
11,0.2438061935815415,0.02174029918395026,16.506332595784592,0.8005247589097803,53.445372935389045
9,0.24370283356784744,0.023518071602468833,16.765386317013633,0.8430894481783945,67.65136451950495
8,0.24148578474704724,0.0041367646034777255,16.192245789690286,0.848792260037573,79.54928926726465
6,0.23596925504332228,0.014843534939024022,16.2952081989893,0.9169619161523282,107.20448347040565
7,0.23414201472872648,0.019065768870765856,16.01076568384726,0.8784792223342727,92.71312978077836
12,0.23332685037055007,0.02349972726598513,16.117510814562518,0.7787323767436405,48.62188062946227
