district_id,cluster_full_k2,dist_to_centroid
1,1,2.423908442578908
2,1,1.1652553276269513
3,1,1.6779856104280095
4,1,3.2474072047415645
5,1,1.959836092985904
6,1,1.6131126984708895
7,1,5.101787666878412
8,1,1.9547423411153348
9,0,2.5824405143734297
10,1,1.790036483999557
11,1,1.8243040705791747
12,1,2.240107365065892
13,1,2.2872484286749932
14,1,2.939430561683456
15,0,3.7220897899183045
16,0,1.9986857264315445
17,1,1.3090398960855676
18,0,4.39412348460376
19,1,5.700179525889368
20,0,1.978507725497486
21,1,2.63914500555477
22,1,2.1374637883972203
23,0,2.126862683683716
24,1,1.2359852672148404
25,1,1.9427143248822105
26,1,1.260885244731824
27,1,2.327468942588361
28,0,2.7656485844737424
29,0,2.293267851745972
30,0,4.505736317722438
31,1,2.764188240109182
32,1,2.1778552176954977
33,0,3.606153432740347
34,0,2.5653525782167375
35,0,2.360769717919752
36,1,2.0942342618284475
37,0,3.3650820372279644
38,1,1.1361589573771067
