district_id,cluster_norace_k3,dist_to_centroid
1,1,1.456272947609095
2,0,1.4917445135240064
3,1,1.6421223840863006
4,0,1.051775199929702
5,1,1.8791665217499345
6,1,0.392845410742173
7,0,1.5731708257697246
8,0,0.6811158576667363
9,1,1.1099043684215557
10,0,0.3710815691948171
11,0,1.5496263043876686
12,1,0.7723018728324201
13,1,1.5492575109469715
14,0,1.58086730968502
15,0,1.0799092170481865
16,1,0.7279050866692075
17,1,1.293361741978018
18,0,0.9064267469599477
19,1,3.8958400237802646
20,0,1.0644801572298144
21,1,0.9055796647657596
22,1,1.3149868006446135
23,1,1.6280393071425197
24,0,1.3552978369708633
25,1,0.6940327586994206
26,0,1.0080201513659308
27,0,0.8273586651999727
28,1,0.48750327246291497
29,2,1.6858739404357614e-07
30,1,1.3492118531828023
31,1,1.2782511222263695
32,0,1.6047995143231248
33,0,1.53920580380147
34,1,1.0184635755276714
35,1,0.8750386562268511
36,0,0.6683209888114648
37,1,1.3934724813369979
38,0,1.1669964411321607
