cluster,x0,x1,x2,x3,x4,x5,z_x0,z_x1,z_x2,z_x3,z_x4,z_x5
0,-1.0356072471807092,-1.1302031736196236,-1.2897972198571126,-0.8978652785637085,-0.44419957226758405,0.4511267428283319,-0.9086900371697524,-1.0197407324419685,-1.2619044322525994,-0.8320593010870948,-0.5300548449769241,0.5366513737962335
1,0.892820025715928,0.9527738810238431,0.7714605638629027,0.9188594378061834,-0.2502227498831192,0.24405448296990298,0.46281653344535617,0.5808431661802668,0.6936989711345929,0.8944684293332427,-0.3853425563831054,0.38235050270838944
2,0.008927249905773583,0.1022875617520511,0.49496343153601774,1.4727386955980526,2.0062590163298464,-2.0028377150134533,-0.16581217699698506,-0.07268045549876458,0.43137431806310583,1.4208486174076989,1.2980577413684078,-1.2919318160644981
3,0.3387296815648018,0.42255146692345735,-0.06526487248189268,-1.0709074829185234,-1.1851316245452013,1.1869889728627503,0.0687448676904046,0.1734140700191712,-0.10013823056825721,-0.9965102834839359,-1.082811466410249,1.0849825851935595
4,-1.3005241233590148,-1.5004529844699213,-2.0531191335520576,-1.1612147951821987,1.4545222839764682,-1.4599295604351625,-1.0971001688101432,-1.3042450117348339,-1.9861005731194825,-1.0823340065158509,0.8864462701696353,-0.8873812440593595
5,-0.3099231546284605,-0.2468668369587199,0.689447006664727,-0.7697810487023249,-0.13727529848864764,0.15181569456567418,-0.3925800883453467,-0.34097477370249735,0.6158892023383828,-0.7103342137953412,-0.3010805090868707,0.3136183344856139
6,1.155115829031918,1.180533641348568,0.8329192082147918,-0.16242893031505884,1.511159199181161,-1.5530722028494217,0.6493625457055396,0.755856426320193,0.7520074151396939,-0.1331359926909119,0.9286990378839162,-0.956786923360728
7,3.582641834824416,3.0277387095832213,1.422277354326933,1.5109195799507738,-1.6038241323301996,1.5896368936749545,2.375830488819884,2.175270376694141,1.3111566906227563,1.4571338922283466,-1.3951681195085364,1.3850175824718458
8,-0.561307911693132,-0.5427536987694269,-0.29930883804886543,-0.644778466587728,1.9481079220733557,-1.936243607211968,-0.5713661130569769,-0.5683376943704557,-0.32218574894268714,-0.5915377762006346,1.2546753525311856,-1.242308902545748
9,-0.35017283562686746,-0.29687986870604455,-0.10074275245882149,0.5810816053436789,-0.6363718690727782,0.6378492187106164,-0.4212058512819799,-0.379405371465252,-0.1337976124155053,0.5734606348044811,-0.6734209055874595,0.6757885073746918
